GP,Ortg,usg,ORB_per,DRB_per,AST_per,TO_per,FT_per,twoP_per,TPM,TP_per,stl_per,ftr,porpag,bpm,gbpm,blk,pts,height_cm,Height_Impact,REB_per,FT_efficiency
4,0.0,13.9,0.0,26.1,0.0,46.6,0.0,0.0,0,0.0,0.0,100.0,-0.685756,-20.0708,-17.5185,0.0,0.0,200.66,-4027.4067279999995,26.1,0.0
4,0.0,12.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,0.0,-0.377305,-18.1776,-20.7152,0.1667,0.6667,190.5,-3462.8328,0.0,0.0
10,107.7,14.8,0.0,8.0,0.0,27.6,0.0,0.0,2,0.667,0.0,0.0,0.0633088,-7.61499,-4.3746,0.0,0.6,177.8,-1353.945222,8.0,0.0
3,53.4,7.4,15.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.356411,-11.4972,-16.4143,0.0,0.0,182.88,-2102.607936,15.8,0.0
25,112.4,17.9,1.9,10.9,4.1,8.7,0.849,0.452,40,0.333,1.0,35.1,1.53122,-2.55241,-2.24898,0.2222,7.8148,200.66,-512.1665906,12.8,29.7999
21,66.2,13.2,1.6,8.2,10.1,24.0,0.0,0.222,5,0.227,2.4,0.0,-0.769192,-5.23005,-6.97988,0.0,0.9048,172.72,-903.334236,9.799999999999999,0.0
28,87.4,10.8,3.7,6.0,23.0,33.5,0.214,0.5,0,0.0,3.1,35.9,-0.471308,-4.26198,-3.62615,0.1071,1.4643,185.42000000000002,-790.2563316000002,9.7,7.6826
1,0.0,36.7,0.0,0.0,0.0,42.9,0.0,0.0,0,0.0,0.0,0.0,-1.32677,-37.1828,-42.5948,0.0,0.0,193.04,-7177.767712,0.0,0.0
28,91.9,10.8,1.1,5.5,12.5,26.5,0.708,0.431,10,0.333,1.9,29.6,-0.722164,-5.29658,-5.15318,0.0333,3.3,185.42000000000002,-982.0918636,6.6,20.9568
32,99.4,25.7,3.3,8.1,11.6,13.4,0.574,0.469,48,0.358,1.9,24.5,1.41496,0.0745016,2.51737,0.2424,9.9697,193.04,14.381788863999999,11.399999999999999,14.062999999999999
32,87.2,15.5,4.7,12.5,10.2,21.9,0.554,0.45,7,0.189,3.2,31.3,0.0577209,1.82326,0.209293,0.9062,6.5938,195.58,356.59319080000006,17.2,17.340200000000003
8,65.3,15.0,0.0,20.3,17.3,36.7,0.0,0.0,1,0.25,2.7,0.0,-0.212982,-5.82539,-7.83617,0.0,0.375,185.42000000000002,-1080.1438138,20.3,0.0
36,78.9,13.6,0.9,4.7,13.1,29.4,0.5,0.406,12,0.293,3.3,16.4,-0.398295,-0.954273,-2.60037,0.0,1.8889,180.34,-172.09359282,5.6000000000000005,8.2
16,78.9,18.0,11.5,23.8,4.6,33.1,0.833,0.381,1,0.333,3.0,25.0,-0.337452,-2.15921,-4.14448,0.25,1.5,198.12,-427.7826852,35.3,20.825
35,94.6,18.7,6.6,16.2,22.3,30.5,0.667,0.537,16,0.281,2.3,25.7,1.08127,5.31999,3.76621,0.3429,5.0286,195.58,1040.4836442,22.799999999999997,17.1419
20,59.1,12.1,2.3,6.9,6.0,27.2,0.4,0.429,1,0.1,1.1,29.4,-0.6644,-9.18342,-11.7761,0.0,0.55,182.88,-1679.4638496,9.2,11.76
33,119.5,15.5,1.1,8.2,38.5,28.4,0.875,0.636,45,0.385,1.8,34.5,1.93327,0.481052,2.89429,0.0,6.2121,177.8,85.5310456,9.299999999999999,30.1875
30,91.2,17.8,6.5,11.5,0.4,16.5,0.655,0.347,26,0.351,1.3,33.7,-0.0678133,-6.75686,-4.95713,0.3,6.1333,200.66,-1355.8315275999998,18.0,22.073500000000003
33,110.9,28.6,17.4,18.6,19.5,20.1,0.507,0.625,0,0.0,3.6,51.7,2.77933,10.1968,9.62857,1.697,11.8788,198.12,2020.190016,36.0,26.211900000000004
12,79.6,13.9,2.0,9.7,11.8,33.6,0.556,0.519,0,0.0,1.3,32.1,-0.475384,-5.54573,-3.46119,0.5,2.75,198.12,-1098.7200276,11.7,17.847600000000003
32,98.7,17.9,1.8,5.0,19.3,22.4,0.761,0.44,32,0.368,2.5,30.3,1.34119,-0.374512,-0.0833524,0.0312,8.2812,182.88,-68.49075456,6.8,23.0583
33,99.4,26.2,12.5,28.1,9.3,18.9,0.551,0.532,0,0.0,1.7,41.3,1.76157,0.974431,1.49362,0.9714,12.8857,205.74,200.47943394,40.6,22.7563
32,110.5,15.2,1.4,6.9,7.9,17.0,0.571,0.333,50,0.427,1.5,4.8,0.757439,-0.400067,-0.354584,0.0,5.7059,187.96,-75.19659332,8.3,2.7407999999999997
31,81.6,13.3,5.8,5.5,7.3,20.2,0.68,0.352,0,0.0,1.6,20.3,-1.11788,-5.27519,-6.41664,0.129,3.3226,193.04,-1018.3226776,11.3,13.804000000000002
18,97.2,12.7,8.4,13.1,4.1,10.9,1.0,0.6,0,0.0,1.4,22.2,0.0198738,-1.43709,-5.78822,0.0,0.4444,200.66,-288.3664794,21.5,22.2
30,90.1,19.4,2.8,11.2,24.5,26.3,0.711,0.409,18,0.3,3.6,30.2,0.119032,-0.137169,-0.583804,0.1333,4.5,187.96,-25.782285240000004,14.0,21.472199999999997
13,109.4,22.4,15.8,5.8,0.0,4.4,0.52,0.462,0,0.0,0.0,192.3,0.431295,-7.7886,-9.09193,0.0769,1.9231,223.52,-1740.907872,21.6,99.99600000000001
26,92.3,15.1,8.8,14.8,4.3,17.9,0.5,0.409,3,0.5,0.2,38.9,-0.110429,-6.29474,-6.06092,0.0,2.9615,203.2,-1279.091168,23.6,19.45
1,0.0,20.0,0.0,0.0,0.0,100.0,0.0,0.0,0,0.0,0.0,0.0,-0.29269,-19.9164,-63.6791,0.0,0.0,187.96,-3743.486544,0.0,0.0
29,103.2,13.0,0.5,5.9,10.8,25.5,0.5,0.556,16,0.444,0.4,7.4,0.146763,-4.90077,-4.09689,0.0333,2.5333,193.04,-946.0446407999999,6.4,3.7
29,100.1,12.8,2.4,9.6,13.1,17.0,0.556,0.432,14,0.359,2.6,21.7,0.115864,-2.40533,-2.94951,0.0323,3.3548,182.88,-439.88675040000004,12.0,12.0652
23,89.7,24.2,1.7,6.9,12.3,22.9,0.688,0.271,46,0.362,2.4,27.4,0.434597,-5.06651,-3.57774,0.0435,8.5652,185.42000000000002,-939.4322842000001,8.6,18.8512
32,92.9,22.8,2.8,11.1,16.2,22.9,0.706,0.423,11,0.333,2.1,52.3,0.593209,-1.83086,-1.55628,0.0,5.0938,182.88,-334.8276768,13.899999999999999,36.92379999999999
3,0.0,0.0,0.0,0.0,24.2,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.719291,-13.6425,-2.79561,0.0,0.0,193.04,-2633.5481999999997,0.0,0.0
22,70.8,13.3,6.8,15.6,3.6,41.1,0.556,0.455,0,0.0,0.5,81.8,-0.400208,-6.69176,-9.30078,0.2,0.68,215.9,-1444.750984,22.4,45.4808
5,0.0,0.0,0.0,0.0,43.1,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.510148,-18.2788,-2.48154,0.0,0.0,185.42000000000002,-3389.2550960000003,0.0,0.0
33,95.7,20.3,11.7,15.1,15.8,24.9,0.505,0.503,1,0.1,1.9,51.4,1.04632,4.31247,3.35281,0.6364,6.7273,195.58,843.4328826000001,26.799999999999997,25.957
33,109.7,18.2,6.3,12.3,10.5,13.1,0.653,0.514,34,0.366,2.0,24.7,1.7564,5.07522,4.23083,0.2121,7.3333,195.58,992.6115276,18.6,16.1291
28,105.6,18.1,11.4,15.8,9.8,17.1,0.82,0.434,11,0.324,0.9,39.1,1.05302,-0.0278811,-2.24557,0.4667,6.7,205.74,-5.736257514,27.200000000000003,32.062
24,69.0,14.9,2.7,11.5,13.3,34.5,0.526,0.263,6,0.333,1.6,51.4,-0.774816,-4.51953,-4.94792,0.0833,1.5833,193.04,-872.4500711999999,14.2,27.0364
29,106.1,16.6,4.7,14.2,11.4,17.3,0.667,0.505,43,0.358,2.7,14.4,1.51975,1.73746,2.12677,0.2759,9.0,190.5,330.98613,18.9,9.604800000000001
30,77.4,16.1,5.7,17.2,10.4,30.3,0.5,0.4,4,0.267,2.7,20.0,-0.335485,1.97808,0.52777,0.6,2.4,195.58,386.8728864,22.9,10.0
4,0.0,27.2,0.0,39.7,0.0,74.9,0.0,0.0,0,0.0,0.0,0.0,-0.451136,-36.8224,-27.1769,0.0,0.0,195.58,-7201.724992,39.7,0.0
34,129.2,14.7,2.0,7.1,8.7,9.7,0.781,0.414,90,0.443,1.0,11.7,3.00964,2.97986,3.02574,0.1176,10.3824,193.04,575.2321744,9.1,9.1377
1,101.9,19.1,0.0,0.0,39.7,50.4,0.0,1.0,0,0.0,9.6,0.0,0.502522,-5.45083,3.88492,0.0,4.0,182.88,-996.8477903999999,0.0,0.0
33,109.7,17.5,6.4,14.6,4.1,14.1,0.544,0.581,0,0.0,0.9,29.6,1.81275,1.91155,2.85478,1.2424,9.1818,203.2,388.42696,21.0,16.102400000000003
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-1.06256,3.30176,-0.646719,0.3333,0.0,208.28,687.6905727999999,0.0,0.0
5,78.1,23.4,0.0,8.6,13.7,16.5,0.5,0.333,4,0.25,2.6,10.5,-0.307348,-8.69957,-6.57315,0.0,3.0,190.5,-1657.268085,8.6,5.25
27,73.1,8.5,4.1,11.8,3.7,17.4,0.0,0.231,4,0.308,1.2,15.4,-0.725455,-4.96212,-5.7937,0.2333,1.1,200.66,-995.6989991999999,15.9,0.0
29,94.5,12.7,1.6,9.2,16.4,23.0,0.75,0.364,18,0.295,1.6,8.5,-0.0722477,-2.78768,-3.07641,0.0,2.8966,175.26,-488.5687968,10.799999999999999,6.375
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.324364,-3.26983,-6.18238,0.0,0.0,190.5,-622.902615,0.0,0.0
13,110.5,7.0,2.3,8.9,11.0,16.9,1.0,0.0,1,0.25,3.6,50.0,0.151344,2.09825,-0.927197,0.0,0.3846,190.5,399.716625,11.2,50.0
4,18.3,21.6,14.9,0.0,0.0,69.3,0.0,0.0,0,0.0,0.0,0.0,-0.457491,-23.7435,-27.345,0.0,0.0,185.42000000000002,-4402.519770000001,14.9,0.0
20,103.5,15.8,13.0,17.5,8.4,24.1,0.464,0.632,0,0.0,0.8,73.7,0.455748,1.22431,0.387475,0.9,3.05,203.2,248.779792,30.5,34.1968
20,87.1,19.0,8.0,9.5,4.8,12.2,0.583,0.275,15,0.341,1.3,21.2,-0.172026,-6.10918,-6.73581,0.1905,4.6667,198.12,-1210.3507416,17.5,12.359599999999999
1,300.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.749982,22.8098,103.998,0.0,3.0,182.88,4171.456224,0.0,0.0
27,107.2,12.4,5.6,16.2,7.0,15.8,0.585,0.563,10,0.323,2.2,48.5,0.70716,1.48502,-0.880842,1.3929,6.7143,198.12,294.2121624,21.799999999999997,28.3725
15,87.1,14.8,6.1,10.5,0.0,9.5,0.0,0.5,0,0.0,0.0,30.0,-0.0379937,-5.48293,-5.66029,0.1333,0.6667,203.2,-1114.1313759999998,16.6,0.0
38,105.3,18.6,5.6,8.8,13.9,16.7,0.795,0.505,34,0.304,2.9,19.0,1.39865,4.81969,4.04719,0.1316,5.9737,190.5,918.1509449999999,14.4,15.105
26,97.9,10.9,3.7,7.1,5.9,16.5,0.55,0.4,14,0.341,0.7,35.7,0.220334,-0.834452,-2.42087,0.0741,2.4074,200.66,-167.44113832,10.8,19.635
3,43.7,11.2,0.0,18.8,0.0,25.9,0.0,1.0,0,0.0,2.9,0.0,-1.20109,-11.7014,-8.36754,0.0,0.6667,193.04,-2258.838256,18.8,0.0
8,44.3,24.0,0.0,0.0,0.0,26.5,0.0,0.5,0,0.0,6.4,0.0,-0.1599,-10.9488,-17.1671,0.0,0.25,208.28,-2280.416064,0.0,0.0
29,92.6,20.1,9.6,12.5,11.2,22.3,0.608,0.441,0,0.0,1.1,65.5,0.449871,1.34469,-0.314059,1.8966,6.4483,200.66,269.82549539999997,22.1,39.824
28,95.3,23.3,1.5,9.5,32.3,27.1,0.649,0.525,34,0.324,3.5,22.6,0.884544,-0.168386,0.869455,0.0,6.5862,180.34,-30.366731240000004,11.0,14.6674
27,86.1,21.0,9.4,10.7,4.6,29.8,0.659,0.475,0,0.0,1.1,69.5,-0.135898,-11.088,-11.1595,0.1379,2.931,203.2,-2253.0815999999995,20.1,45.8005
4,25.8,43.0,11.2,21.9,18.2,56.3,0.333,0.0,0,0.0,0.0,150.0,-0.589169,-28.5702,-28.8508,0.0,0.25,195.58,-5587.7597160000005,33.099999999999994,49.95
27,110.7,8.3,1.3,7.0,14.3,27.2,1.0,0.5,4,0.364,0.9,40.0,0.29867,-2.63148,-4.30546,0.0741,1.8519,187.96,-494.6129808,8.3,40.0
32,98.6,16.7,5.3,11.6,10.0,12.9,0.529,0.429,19,0.275,0.8,18.9,0.432674,1.57379,0.450289,0.25,2.625,205.74,323.79155460000004,16.9,9.998099999999999
11,90.3,26.0,1.2,8.9,17.7,22.8,0.72,0.333,26,0.4,1.2,22.7,1.29843,-4.30971,-3.01261,0.0909,11.4545,190.5,-820.9997549999999,10.1,16.343999999999998
15,86.7,17.5,11.1,12.4,6.5,18.0,0.5,0.273,10,0.313,1.4,11.1,-0.157947,-2.47164,-3.23724,0.2667,3.0,200.66,-495.95928239999995,23.5,5.55
25,73.2,11.8,7.8,19.6,6.8,31.2,0.6,0.3,0,0.0,0.0,50.0,-0.229802,-2.36216,-3.17459,0.28,0.36,213.36,-503.9904576,27.400000000000002,30.0
7,200.0,4.8,0.0,15.3,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.28626,-4.21148,1.33411,0.0,0.2857,210.82,-887.8642136,15.3,0.0
33,105.6,26.9,3.1,9.5,20.9,16.9,0.734,0.45,79,0.395,1.2,26.1,3.06292,4.2984,6.03021,0.2121,15.5455,187.96,807.927264,12.6,19.1574
32,93.3,18.4,3.5,9.9,6.1,15.5,0.556,0.456,43,0.297,0.7,17.8,0.65511,-0.783293,-1.92776,0.375,9.4688,193.04,-151.20688072,13.4,9.8968
26,89.1,16.6,2.6,10.4,23.4,28.9,0.455,0.25,30,0.357,1.3,8.3,-0.0717263,-3.28514,-3.43043,0.0,4.5769,190.5,-625.81917,13.0,3.7765000000000004
27,85.2,13.7,6.5,12.8,8.8,24.8,0.609,0.42,0,0.0,0.4,43.4,-0.118628,-2.59236,-3.06017,0.0,2.0741,203.2,-526.767552,19.3,26.4306
19,81.1,19.1,5.0,13.4,3.5,18.2,0.5,0.5,0,0.0,0.0,26.7,-0.0431889,-6.80252,-8.24829,0.0526,0.7368,198.12,-1347.7152624,18.4,13.35
31,64.8,17.8,6.5,12.5,22.0,36.4,0.708,0.278,6,0.188,3.0,27.9,-1.21208,-7.56782,-7.04715,0.0645,2.0968,180.34,-1364.7806588,19.0,19.7532
1,0.0,25.8,0.0,69.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.618132,-44.2544,-26.9458,0.0,0.0,195.58,-8655.275552,69.8,0.0
26,81.3,12.1,4.2,12.6,3.0,32.4,0.417,0.571,0,0.0,0.5,34.3,-0.519955,-4.7485,-7.63188,0.3929,1.6786,203.2,-964.8951999999999,16.8,14.303099999999999
21,102.0,11.6,17.9,16.1,7.2,31.4,0.5,0.5,0,0.0,2.4,20.0,0.083047,4.32074,-2.74253,0.1429,0.5238,203.2,877.9743679999999,34.0,10.0
25,88.9,11.9,10.4,10.5,0.0,26.7,0.25,0.571,0,0.0,3.2,57.1,-0.0773747,-4.79723,-3.46329,0.0714,0.6786,210.82,-1011.3520285999999,20.9,14.275
35,106.1,15.0,7.9,17.7,3.8,14.9,0.49,0.548,0,0.0,0.2,39.5,0.635284,-1.5549,-1.86439,0.7297,4.6486,203.2,-315.95568,25.6,19.355
27,92.6,22.1,14.9,21.2,12.3,19.7,0.606,0.4,3,0.333,1.4,51.2,0.61622,-3.40622,-3.9452,0.1852,5.3704,200.66,-683.4921052,36.1,31.0272
32,93.8,28.3,4.4,14.0,15.1,20.6,0.644,0.461,26,0.329,3.3,59.8,1.8229,0.086676,1.28169,0.7812,14.375,195.58,16.952092080000003,18.4,38.5112
29,68.7,15.7,0.8,13.3,17.2,31.2,0.688,0.533,6,0.154,1.4,29.6,-0.815388,-8.28052,-9.67219,0.0645,1.8065,187.96,-1556.4065392,14.100000000000001,20.3648
38,113.8,15.4,3.9,12.4,8.7,18.3,0.764,0.602,29,0.377,0.8,28.9,1.85107,2.65937,1.8546,0.2308,7.1026,195.58,520.1195846,16.3,22.0796
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.328731,-4.43573,-7.89769,0.0,0.0,195.58,-867.5400734000001,0.0,0.0
6,0.0,11.0,0.0,29.9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.199136,-16.9726,-12.0698,0.0,0.0,190.5,-3233.2803,29.9,0.0
13,55.1,16.5,2.9,5.4,0.0,16.8,0.0,0.286,1,0.167,0.0,0.0,-0.36536,-10.6469,-14.1105,0.0,0.5385,185.42000000000002,-1974.1481980000003,8.3,0.0
27,77.8,11.7,7.2,14.5,3.1,28.5,0.5,0.439,0,0.0,0.6,45.5,-1.31904,-9.73432,-9.41422,0.3448,2.6897,205.74,-2002.7389968000002,21.7,22.75
6,83.4,25.5,10.6,24.8,8.1,27.8,0.5,0.556,0,0.0,1.8,60.0,0.129582,-7.01636,-4.71844,0.0,2.1667,203.2,-1425.724352,35.4,30.0
3,80.2,21.5,4.4,18.6,7.5,34.7,0.75,0.4,0,0.0,5.0,80.0,-0.0997106,2.29663,4.81809,0.6667,2.3333,205.74,472.5086562,23.0,60.0
7,0.0,14.1,0.0,20.3,0.0,47.4,0.0,0.0,0,0.0,0.0,0.0,-0.846098,-16.5305,-15.788,0.1429,0.0,198.12,-3275.02266,20.3,0.0
6,64.9,9.3,8.6,7.4,0.0,9.6,0.5,0.125,0,0.0,0.0,75.0,-1.2432,-12.7345,-11.9477,0.0,0.8333,210.82,-2684.68729,16.0,37.5
27,93.2,15.3,1.7,7.7,9.3,20.6,0.833,0.345,41,0.345,1.1,12.2,0.111546,-4.6536,-5.02858,0.0741,5.8519,198.12,-921.971232,9.4,10.1626
33,105.3,14.2,3.8,11.6,3.5,21.1,0.711,0.636,25,0.357,0.9,43.7,0.680611,1.03562,-0.464209,0.2121,4.5152,198.12,205.1770344,15.399999999999999,31.070700000000002
31,91.9,24.0,2.2,17.0,16.1,19.8,0.696,0.467,55,0.307,2.7,13.9,1.0414,0.144523,0.451377,0.6129,10.9355,185.42000000000002,26.797454660000003,19.2,9.6744
32,96.5,16.4,6.4,12.7,7.8,20.7,0.673,0.472,17,0.283,1.5,26.5,0.175513,-2.1527,-3.68115,0.1562,6.3125,195.58,-421.025066,19.1,17.834500000000002
24,82.4,18.9,3.1,8.4,12.6,31.6,0.628,0.475,1,0.333,2.6,51.8,-0.428717,-6.3328,-7.10792,0.125,4.4167,195.58,-1238.5690240000001,11.5,32.5304
23,91.6,9.3,2.5,15.1,4.6,13.2,0.5,0.417,3,0.273,1.2,8.7,-0.239431,-2.21665,-5.11439,0.087,0.8696,203.2,-450.42328,17.6,4.35
12,88.0,17.6,18.3,12.4,0.0,12.9,0.5,0.3,0,0.0,0.0,100.0,0.027707,-2.89919,-4.397,1.0,0.9167,208.28,-603.8432932,30.700000000000003,50.0
18,56.5,23.1,2.4,6.4,11.4,37.3,0.688,0.275,3,0.333,1.5,26.7,-1.11415,-18.035,-15.666,0.0,2.6667,187.96,-3389.8586,8.8,18.3696
32,109.7,13.2,9.5,10.0,3.0,18.1,0.451,0.626,0,0.0,1.0,55.4,0.569188,-0.320762,-2.05157,1.0556,4.6389,198.12,-63.54936744,19.5,24.9854
5,151.8,15.7,0.0,15.7,0.0,0.0,0.0,0.0,3,0.6,0.0,0.0,0.588056,-5.20565,10.3174,0.0,1.5,185.42000000000002,-965.2316230000001,15.7,0.0
39,107.1,20.7,8.5,14.8,5.2,20.3,0.675,0.662,21,0.339,1.3,31.5,1.07109,3.68705,2.35618,0.3077,4.5128,198.12,730.4783460000001,23.3,21.262500000000003
5,45.7,7.9,6.9,13.6,9.1,0.0,0.0,0.0,0,0.0,3.5,0.0,-0.581057,2.29731,-5.51885,0.0,0.0,182.88,420.1320528,20.5,0.0
6,58.0,27.6,21.1,20.7,0.0,0.0,0.0,0.167,0,0.0,5.5,0.0,-0.159624,-16.2355,-10.5658,0.0,0.3333,200.66,-3257.8154299999997,41.8,0.0
8,200.0,4.4,0.0,44.7,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.260356,-9.34995,1.76225,0.0,0.25,200.66,-1876.160967,44.7,0.0
32,114.5,20.5,9.8,9.2,10.7,16.3,0.766,0.607,3,0.214,0.5,31.5,1.39834,-1.39045,-1.70593,0.0909,6.5758,203.2,-282.53943999999996,19.0,24.129
21,71.1,12.2,8.7,12.3,8.1,25.5,0.563,0.242,0,0.0,1.2,45.7,-0.839151,-4.04749,-5.67385,0.1905,1.1905,195.58,-791.6080942,21.0,25.7291
8,68.2,16.0,8.3,30.0,0.0,66.3,0.0,1.0,0,0.0,0.0,0.0,-0.299822,-13.2588,-8.97719,0.0,0.75,203.2,-2694.18816,38.3,0.0
1,200.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.374149,3.73583,50.9275,0.0,2.0,187.96,702.1866068,0.0,0.0
17,117.4,18.2,17.1,8.0,4.7,12.5,0.735,0.444,0,0.0,1.5,121.4,0.804408,-3.18354,-2.4928,0.0588,2.8824,193.04,-614.5505615999999,25.1,89.229
7,111.6,20.0,0.0,0.0,100.0,27.8,1.0,0.75,0,0.0,0.0,40.0,0.122769,-22.8606,9.21691,0.0,1.1429,182.88,-4180.746528000001,0.0,40.0
18,60.7,12.6,5.1,11.2,2.6,28.3,0.286,0.346,0,0.0,0.4,25.9,-1.08295,-8.14938,-10.401,0.6,1.35,205.74,-1676.6534412000003,16.299999999999997,7.407399999999999
29,105.5,19.4,2.7,10.4,14.8,18.3,0.83,0.441,51,0.372,1.8,16.8,2.17393,0.622061,0.466861,0.2069,10.9655,190.5,118.50262049999999,13.100000000000001,13.943999999999999
25,53.0,17.6,7.9,6.8,3.5,48.4,0.7,0.36,0,0.0,2.0,35.7,-0.842664,-4.40078,-7.35989,0.44,1.0,200.66,-883.0605148,14.7,24.990000000000002
18,81.5,20.5,9.9,19.4,3.7,27.6,0.5,0.5,0,0.0,1.5,59.1,-0.169719,-6.74346,-7.06482,0.4,3.45,203.2,-1370.2710719999998,29.299999999999997,29.55
27,76.2,14.6,2.7,7.5,12.7,27.2,0.667,0.385,11,0.239,2.0,20.8,-0.750667,-8.25509,-8.38837,0.0,2.3333,187.96,-1551.6267163999999,10.2,13.873600000000001
30,97.4,14.0,0.6,5.6,10.6,16.6,0.9,0.31,24,0.393,0.7,11.1,0.0591045,-4.67122,-3.00832,0.0,3.3871,177.8,-830.542916,6.199999999999999,9.99
23,71.9,15.1,4.0,7.4,5.6,19.3,0.4,0.316,5,0.217,1.1,11.9,-0.345039,-3.27031,-3.86348,0.087,1.2609,200.66,-656.2204045999999,11.4,4.760000000000001
25,110.8,18.0,2.6,6.3,10.3,10.9,0.614,0.465,62,0.385,1.4,21.6,1.87377,0.51175,1.20366,0.04,10.12,182.88,93.58884,8.9,13.262400000000001
29,84.9,16.0,2.5,8.1,11.6,24.1,0.768,0.405,13,0.26,1.3,45.2,-0.541533,-5.83284,-6.0667,0.0,4.8966,185.42000000000002,-1081.5251928,10.6,34.7136
15,78.3,21.9,7.5,6.7,15.6,17.5,0.444,0.317,4,0.25,2.1,31.6,-0.337876,-6.80666,-5.44403,0.1333,3.0667,190.5,-1296.66873,14.2,14.0304
36,99.2,12.3,12.0,17.0,1.4,23.7,0.476,0.563,0,0.0,1.4,65.6,0.116535,0.608278,-0.722589,0.6111,2.5556,208.28,126.69214183999999,29.0,31.225599999999996
29,104.0,17.9,7.5,17.5,8.0,15.9,0.531,0.537,5,0.313,1.2,28.8,1.00433,0.994001,1.17333,0.4828,4.6207,208.28,207.03052828,25.0,15.292800000000002
2,130.1,20.4,6.0,13.0,10.7,8.0,0.875,0.5,2,0.333,6.5,80.0,2.71005,14.5015,11.9487,0.5,8.5,193.04,2799.36956,19.0,70.0
9,91.8,12.2,0.0,30.5,0.0,0.0,0.0,0.667,0,0.0,3.6,0.0,-0.0443221,-4.60295,-6.71484,0.1111,0.4444,193.04,-888.553468,30.5,0.0
22,113.1,15.7,13.3,17.9,6.7,7.0,0.643,0.267,3,0.5,0.6,66.7,0.379081,1.59399,2.09974,0.0,1.1818,205.74,327.9475026,31.2,42.8881
4,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9.0,0.0,-0.554928,0.919733,-0.263072,0.0,0.0,198.12,182.21750196000002,0.0,0.0
31,87.4,19.7,1.4,9.8,17.5,27.9,0.75,0.367,43,0.339,2.4,33.9,0.24897,-1.79747,-2.68521,0.0,8.6774,185.42000000000002,-333.2868874,11.200000000000001,25.424999999999997
9,38.8,20.9,0.0,14.5,0.0,32.8,0.333,0.25,0,0.0,4.6,120.0,-0.442357,-12.9365,-11.8793,0.1111,0.4444,203.2,-2628.6968,14.5,39.96
18,79.7,15.6,0.6,7.6,3.9,10.4,1.0,0.5,11,0.256,1.3,1.9,-0.398841,-7.58206,-3.38995,0.1111,2.4444,195.58,-1482.8992948000002,8.2,1.9
23,93.9,20.2,2.1,5.0,5.0,8.5,0.474,0.417,11,0.306,1.0,31.7,0.0942932,-5.07036,-5.80541,0.24,3.16,195.58,-991.6610088000001,7.1,15.025799999999998
31,103.8,23.8,2.9,9.5,17.9,14.4,0.741,0.439,61,0.367,2.5,25.8,1.89483,0.546593,2.31447,0.0,12.0,187.96,102.73762028,12.4,19.1178
37,88.9,15.7,4.1,13.7,3.5,27.2,0.5,0.56,5,0.357,1.0,50.0,-0.0638466,-2.55323,-2.62283,0.2368,2.6053,200.66,-512.3311318,17.799999999999997,25.0
14,61.5,18.1,2.3,3.6,2.3,13.5,0.5,0.455,3,0.136,1.8,6.1,-0.605622,-10.9207,-8.69156,0.0,1.4286,193.04,-2108.131928,5.9,3.05
26,86.1,12.8,7.9,10.2,3.2,37.7,0.611,0.6,0,0.0,1.8,90.0,-0.2044,-5.04713,-6.72312,0.0,1.3929,205.74,-1038.3965262000002,18.1,54.99
1,79.5,39.0,39.1,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,200.0,0.0559131,-24.4812,-8.20916,0.0,1.0,200.66,-4912.397592,39.1,100.0
8,101.8,22.5,26.3,4.9,0.0,11.5,0.5,0.4,0,0.0,0.0,120.0,0.231322,-10.2401,-1.90491,0.0,0.875,210.82,-2158.817882,31.200000000000003,60.0
22,74.1,14.1,2.1,11.4,7.7,35.8,0.714,0.333,7,0.35,0.5,43.8,-0.751389,-9.24705,-10.6929,0.0,1.7727,198.12,-1832.025546,13.5,31.273199999999996
20,144.8,6.8,1.4,9.4,11.5,10.3,1.0,0.6,2,0.5,0.7,22.2,0.522271,0.383091,1.24617,0.0,0.7,193.04,73.95188664,10.8,22.2
27,99.7,24.8,8.7,14.3,7.9,21.7,0.598,0.565,2,0.25,1.6,52.8,2.0137,-0.179823,-0.358615,0.4074,12.2593,205.74,-36.99678402000001,23.0,31.574399999999997
28,95.6,18.9,5.1,11.3,5.7,14.3,0.483,0.344,33,0.379,1.7,19.6,0.474849,-2.9756,-1.82007,0.2143,5.5357,195.58,-581.967848,16.4,9.466800000000001
